,Out Datetime,In Datetime,Name,Voltage(kV),LineType,GenFlag,Length(miles),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,District,OutageID
5282,09/27/1999 05:30,09/27/1999 17:05,Ice Harbor-Levey section of Ice Harbor-Franklin No 3 115kV line,115.0,S, ,0.88,695,Plan,Foreign Request,,TRI,117964
5283,09/27/1999 06:18,09/27/1999 18:20,Noxon AVA-Hot Springs No 2 230kV line,230.0,L, ,70.00,722,Plan,Foreign Request,,KAL,117965
5284,09/27/1999 07:03, ,Bald Mountain tap to Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TT, ,0.38,still out,Plan,Normally Out,,LGV TDA,118039
5285,09/27/1999 07:03, ,Bald Mountain tap-Underwood section of Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TS, ,0.99,still out,Plan,Normally Out,,LGV TDA,118039
5286,09/27/1999 07:03, ,Bonneville PH 1-North Camas No 1 115kV line,115.0,L,T,22.12,still out,Plan,Normally Out,,LGV,118039
5287,09/27/1999 07:03, ,Carson tap to Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TT, ,1.24,still out,Plan,Normally Out,,LGV TDA,118039
5288,09/27/1999 07:03, ,Carson-Bald Mountain tap section of Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TS, ,15.35,still out,Plan,Normally Out,,LGV TDA,118039
5289,09/27/1999 07:03, ,North Bonneville Annex tap to Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TT, ,0.10,still out,Plan,Normally Out,,LGV TDA,118039
5290,09/27/1999 07:03, ,North Bonneville Annex-Stevenson section of Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TS, ,5.30,still out,Plan,Normally Out,,LGV TDA,118039
5291,09/27/1999 07:03, ,Stevenson tap to Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TT, ,0.10,still out,Plan,Normally Out,,LGV TDA,118039
5292,09/27/1999 07:03, ,Stevenson-Carson section of Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,TS, ,3.60,still out,Plan,Normally Out,,LGV TDA,118039
5293,09/27/1999 07:03, ,Underwood tap to Bonneville PH 1-North Camas No 1 115kV line,115.0,T, ,25.00,still out,Plan,Normally Out,,LGV TDA,118039
5294,09/27/1999 07:13,09/27/1999 17:26,St Johns-Dutch Canyon section of St Johns-St Helens No 1 115kV line,115.0,S, ,12.82,613,Plan,Foreign Request,,LGV,117966
5295,09/27/1999 07:13,09/27/1999 17:26,St Johns-St Helens No 1 115kV line,115.0,L,G,23.27,613,Plan,Foreign Request,,LGV,117966
5296,09/27/1999 07:18,09/27/1999 13:46,Lower Monumental PH-Lower Monumental No 1 500kV line,500.0,L, ,0.97,388,Plan,Foreign Request,,TRI,117967
5297,09/27/1999 07:29,09/27/1999 15:08,Reedsport-Fairview No 1 115kV line,115.0,L,G,38.48,459,Plan,Maintenance,,EUG,117968
5298,09/27/1999 07:29,09/27/1999 15:08,Reedsport-Lakeside section of Reedsport-Fairview No 1 115kV line,115.0,S, ,9.35,459,Plan,Maintenance,,EUG,117968
5299,09/27/1999 07:33,09/27/1999 16:17,Raymond-Cosmopolis No 1 115kV line,115.0,L, ,18.36,524,Plan,Maintenance,,OLY,117969
5300,09/27/1999 07:46,09/27/1999 17:09,Satsop-Aberdeen tap section of South Elma-Cosmopolis No 1 115kV line,115.0,S, ,5.80,563,Plan,Maintenance,,OLY,117970
5301,09/27/1999 07:46,09/27/1999 17:09,South Elma-Cosmopolis No 1 115kV line,115.0,L,G,20.01,563,Plan,Maintenance,,OLY,117970
5302,09/27/1999 07:57,10/01/1999 16:19,Alvey-Dixonville No 1 230kV line,230.0,L, ,59.40,6262,Plan,Foreign Request,,EUG,117971
5303,09/27/1999 08:09,09/27/1999 15:47,Shelton-Fairmount No 1 115kV line,115.0,L,G,60.23,458,Plan,Maintenance,,OLY,117972
5304,09/27/1999 08:09,09/27/1999 15:47,Shelton-Potlatch section of Shelton-Fairmount No 1 115kV line,115.0,S, ,13.33,458,Plan,Maintenance,,OLY,117972
5305,09/27/1999 09:18,09/27/1999 14:23,Big Eddy-Redmond No 1 230kV line,230.0,L,G,97.46,305,Plan,Maintenance,,TDA RED,117973
5306,09/27/1999 09:18,09/27/1999 14:23,Maupin-Redmond section of Big Eddy-Redmond No 1 230kV line,230.0,S, ,68.07,305,Plan,Maintenance,,TDA RED,117973
5307,09/27/1999 09:54,10/01/1999 15:08,Milton tap to Walla Walla-Freewater No 1 69kV line,69.0,T, ,3.70,6074,Plan,Construction,,TRI,117974
5308,09/27/1999 09:54,10/01/1999 09:11,Walla Walla-Freewater No 1 69kV line,69.0,L, ,11.74,5717,Plan,Construction,,TRI,117974
5309,09/27/1999 10:35,09/27/1999 14:59,Colville-Kettle Falls section of Colville-Republic No 1 115kV line,115.0,S, ,13.30,264,Plan,Foreign Request,,SPK,117975
5310,09/27/1999 10:35,09/27/1999 14:59,Colville-Republic No 1 115kV line,115.0,L,G,44.47,264,Plan,Foreign Request,,SPK,117975
5311,09/27/1999 11:49,09/27/1999 16:12,Bell-AVA Beacon No 1 115kV line,115.0,L, ,6.60,263,Plan,Foreign Request,,SPK,117976
5312,09/28/1999 05:00,09/28/1999 17:05,Ice Harbor-Franklin No 3 115kV line,115.0,L,G,9.08,725,Plan,Foreign Request,,TRI,117979
5313,09/28/1999 05:00,09/28/1999 17:05,Ice Harbor-Levey section of Ice Harbor-Franklin No 3 115kV line,115.0,S, ,0.88,725,Plan,Foreign Request,,TRI,117979
5314,09/28/1999 06:01,09/28/1999 16:28,Noxon AVA-Hot Springs No 2 230kV line,230.0,L, ,70.00,627,Plan,Foreign Request,,KAL,117980
5315,09/28/1999 07:03,09/28/1999 18:23,St Johns-Dutch Canyon section of St Johns-St Helens No 1 115kV line,115.0,S, ,12.82,680,Plan,Foreign Request,,LGV,117981
5316,09/28/1999 07:03,09/28/1999 18:23,St Johns-St Helens No 1 115kV line,115.0,L,G,23.27,680,Plan,Foreign Request,,LGV,117981
5317,09/28/1999 07:10,09/28/1999 17:11,Raymond-Cosmopolis No 1 115kV line,115.0,L, ,18.36,601,Plan,Maintenance,,OLY,117982
5318,09/28/1999 07:25,10/01/1999 15:43,Redmond-PGE Round Butte No 1 230kV line,230.0,L, ,23.60,4818,Plan,Construction,,RED,117983
5319,09/28/1999 07:37,10/01/1999 15:43,Redmond-Pilot Butte PACW No 1 230kV line,230.0,L, ,15.12,4806,Plan,Construction,,RED,117984
5320,09/28/1999 07:41,09/28/1999 15:13,Glasgow-Sumner section of Reedsport-Fairview No 1 115kV line,115.0,S, ,14.02,452,Plan,Maintenance,,EUG,117985
