,Out Datetime,In Datetime,Name,Voltage(kV),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,System In Control,MW Intrpt,District,OutageID
613,05/25/1999 21:26,05/25/1999 21:35,Heglar: Raft River Elec 138kV Feeder 1 by Idaho Power Co,138.0,9,Auto,Foreign Trouble,,Transferor Trouble,Unknown,IDF,115624
614,05/26/1999 08:15,05/26/1999 16:19,Fishers Road: Clark Public Util 12.5kV Feeder 2,12.5,484,Plan,Maintenance,,BPA Request,None,LGV,115640
615,05/26/1999 09:12,05/26/1999 16:23,Lane: EWEB (Eugene OR) 115kV Feeder 1,115.0,431,Plan,Maintenance,,BPA Request,None,EUG,115641
616,05/26/1999 09:12,05/26/1999 16:23,Lane: EWEB (Eugene OR) 115kV Feeder 2,115.0,431,Plan,Maintenance,,BPA Request,None,EUG,115642
617,05/27/1999 06:30,05/27/1999 12:12,Chemawa: Portland Gen Elec 57kV Feeder 1,57.0,342,Plan,Maintenance,,BPA Request,16,SAL,115659
618,05/27/1999 07:46,05/27/1999 10:14,Chemawa: Portland Gen Elec 115kV Feeder 1,115.0,148,Plan,Maintenance,,BPA Request,90,SAL,115660
619,05/27/1999 08:02,05/27/1999 12:13,Chemawa: Portland Gen Elec 57kV Feeder 2,57.0,251,Plan,Maintenance,,BPA Request,14,SAL,115661
620,05/27/1999 08:23,05/27/1999 17:34,Chelatchie: Clark Public Util 12.5kV Feeder 1 by PacifiCorp (PACW),12.5,551,Plan,Maintenance,,BPA Request,Unknown,LGV,115662
621,05/27/1999 08:40,05/27/1999 11:20,Artondale: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,160,Plan,Foreign Request,,Customer Request,12,COV,115663
622,05/28/1999 03:29,05/29/1999 14:46,Chemawa: Portland Gen Elec 57kV Feeder 2,57.0,2117,Plan,Maintenance,,BPA Request,None,SAL,115664
623,05/28/1999 03:48,05/29/1999 14:03,Chemawa: Portland Gen Elec 57kV Feeder 1,57.0,2055,Plan,Maintenance,,BPA Request,None,SAL,115665
624,05/28/1999 04:32,05/29/1999 13:44,Chemawa: Portland Gen Elec 115kV Feeder 1,115.0,1992,Plan,Maintenance,,BPA Request,None,SAL,115686
625,05/28/1999 05:05,05/28/1999 05:05,East Hills: South Side Elec 12.5kV Feeder 1,12.5,0,Auto,Unknown,Unknown,Unknown Trouble,Unknown,IDF,115666
626,05/28/1999 05:05,05/28/1999 05:05,Jackson: Idaho Power Co 34.5kV Feeder 1,34.5,0,Auto,Forced (Configuration),Forced (Configuration),BPA Trouble,Unknown,IDF,115687
627,05/28/1999 05:05,05/28/1999 05:05,Second Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,0,Auto,Forced (Configuration),Forced (Configuration),BPA Trouble,Unknown,IDF,115688
628,05/28/1999 05:05,05/28/1999 05:05,First Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,0,Auto,Forced (Configuration),Forced (Configuration),BPA Trouble,Unknown,IDF,115689
629,05/28/1999 05:05,05/28/1999 05:05,Third Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,0,Auto,Forced (Configuration),Forced (Configuration),BPA Trouble,Unknown,IDF,115690
630,05/28/1999 05:05,05/28/1999 05:05,Newcomb: South Side Elec 12.5kV Feeder 1,12.5,0,Auto,Forced (Configuration),Forced (Configuration),BPA Trouble,Unknown,IDF,115691
631,05/28/1999 05:05,05/28/1999 05:05,Second Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,0,Auto,Forced (Configuration),Forced (Configuration),BPA Trouble,Unknown,IDF,115738
632,05/28/1999 07:28,05/28/1999 15:37,Pendleton: PacifiCorp (PACW) 69kV Feeder 1,69.0,489,Plan,Foreign Request,,Customer Request,None,TRI,115692
633,05/28/1999 07:48,05/28/1999 14:54,Roundup: PacifiCorp (PACW) 69kV Feeder 1 to Patawa Creek,69.0,426,Plan,Foreign Request,,Customer Request,None,TRI,115693
634,05/29/1999 13:21,05/29/1999 13:29,Dixie: Idaho Power Co 24.9kV Feeder 1,24.9,8,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,Unknown,IDF,115710
635,05/30/1999 03:48,05/30/1999 04:19,Valhalla: Alcoa 13.8kV Feeder 1,13.8,31,Plan,Foreign Request,,Customer Request,74,WEN,115713
636,05/30/1999 14:14,05/30/1999 14:28,Franklin: Franklin Co PUD 12.5kV Feeder 2,12.5,14,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,3,TRI,115714
637,06/01/1999 08:50,06/03/1999 11:45,Intalco: Alcoa 13.8kV Feeder 4,13.8,3055,Plan,Maintenance,,BPA Request,None,SNO,115716
